id,title,author,genre,language,publicationYear,publisher,description,pageCount,tags,rating_average,most_popular_country,bestseller_status,awards,age_category,adapted_to_movie,movie_release_year,isbn
200,"Pale Fire","Vladimir Nabokov","Metafiction","English",1962,"Putnam","A 999-line poem and its commentary by an insane neighbor.",315,"complex,poetry,satire",4.18,"USA",TRUE,"None","Adult",FALSE,,"978-0679723424"
201,"A Study in Scarlet","Arthur Conan Doyle","Detective","English",1887,"Ward Lock & Co","The first appearance of Sherlock Holmes and Dr. Watson as they investigate a murder in London.",123,"mystery,sherlock,classic",4.15,"UK",TRUE,"None","Adult",TRUE,1933,"978-0140439083"
202,"The Hound of the Baskervilles","Arthur Conan Doyle","Detective","English",1902,"George Newnes","Holmes and Watson investigate a legend of a supernatural hound haunting a family in Dartmoor.",256,"mystery,horror,classic",4.13,"UK",TRUE,"None","Adult",TRUE,1939,"978-0140437867"
203,"The Adventures of Sherlock Holmes","Arthur Conan Doyle","Detective","English",1892,"George Newnes","A collection of twelve short stories featuring Sherlock Holmes.",307,"mystery,short stories,classic",4.30,"UK",TRUE,"None","Adult",TRUE,1939,"978-0192123190"
204,"Do Androids Dream of Electric Sheep?","Philip K. Dick","Sci-Fi","English",1968,"Doubleday","Rick Deckard hunts rogue androids in a post-apocalyptic San Francisco.",244,"cyberpunk,philosophy,ai",4.08,"USA",TRUE,"Nebula Nominee","Adult",TRUE,1982,"978-0345404473"
205,"Ubik","Philip K. Dick","Sci-Fi","English",1969,"Doubleday","A story about psychic corporate espionage and shifting realities.",227,"surreal,philosophy,sci-fi",4.07,"USA",TRUE,"None","Adult",FALSE,,"978-0547572291"
206,"2001: A Space Odyssey","Arthur C. Clarke","Sci-Fi","English",1968,"New American Library","The discovery of a monolith on the moon leads to a space voyage to Jupiter.",297,"space,ai,evolution",4.16,"UK",TRUE,"None","Adult",TRUE,1968,"978-0451457998"
207,"Rendezvous with Rama","Arthur C. Clarke","Sci-Fi","English",1973,"Gollancz","Astronauts explore a cylindrical alien starship that enters the Solar System.",243,"space,aliens,mystery",4.10,"UK",TRUE,"Hugo,Nebula","Adult",FALSE,,"978-0553287899"
208,"The Left Hand of Darkness","Ursula K. Le Guin","Sci-Fi","English",1969,"Ace Books","A human envoy visits a planet where inhabitants can change their gender.",304,"gender,politics,winter",4.08,"USA",TRUE,"Hugo,Nebula","Adult",FALSE,,"978-0441478125"
209,"A Wizard of Earthsea","Ursula K. Le Guin","Fantasy","English",1968,"Parnassus Press","A young wizard named Ged accidentally releases a shadow creature that haunts him.",183,"magic,dragons,classic",4.01,"USA",TRUE,"Lewis Carroll Shelf Award","Young Adult",TRUE,2006,"978-0547773742"
210,"The Dispossessed","Ursula K. Le Guin","Sci-Fi","English",1974,"Harper & Row","A physicist tries to unite two disparate worlds: one anarchist, one capitalist.",387,"politics,anarchy,utopia",4.23,"USA",TRUE,"Hugo,Nebula","Adult",FALSE,,"978-0061054884"
211,"Kindred","Octavia E. Butler","Sci-Fi","English",1979,"Doubleday","A modern Black woman is pulled back in time to the antebellum South.",264,"time travel,slavery,history",4.26,"USA",TRUE,"Hugo Award","Adult",TRUE,2022,"978-0807083697"
212,"Parable of the Sower","Octavia E. Butler","Dystopian","English",1993,"Four Walls Eight Windows","In a collapsing America, a teenage girl starts a new religion called Earthseed.",345,"survival,religion,future",4.19,"USA",TRUE,"Nebula Nominee","Adult",FALSE,,"978-0446675505"
213,"The Man in the High Castle","Philip K. Dick","Alternate History","English",1962,"Putnam","A look at what the world might be like if the Axis powers had won World War II.",259,"history,war,japan,germany",3.63,"USA",TRUE,"Hugo Award","Adult",TRUE,2015,"978-0547572482"
214,"Starship Troopers","Robert A. Heinlein","Sci-Fi","English",1959,"Putnam","A young soldier fights in an interstellar war against an insectoid species.",263,"war,military,politics",4.00,"USA",TRUE,"Hugo Award","Adult",TRUE,1997,"978-0441014101"
215,"Stranger in a Strange Land","Robert A. Heinlein","Sci-Fi","English",1961,"Putnam","A human raised on Mars returns to Earth and challenges its culture.",528,"philosophy,religion,mars",3.91,"USA",TRUE,"Hugo Award","Adult",FALSE,,"978-0441790340"
216,"I, Robot","Isaac Asimov","Sci-Fi","English",1950,"Gnome Press","A collection of short stories weaving together the history of robotics and the Three Laws.",253,"robots,ai,classic",4.20,"USA",TRUE,"None","Adult",TRUE,2004,"978-0553294385"
217,"The Caves of Steel","Isaac Asimov","Detective Sci-Fi","English",1954,"Doubleday","A detective and a robot partner investigate a murder in a futuristic New York.",206,"mystery,robots,sci-fi",4.17,"USA",TRUE,"None","Adult",FALSE,,"978-0553293401"
218,"Flowers for Algernon","Daniel Keyes","Sci-Fi","English",1966,"Harcourt","A mentally disabled man undergoes a surgery that increases his intelligence.",311,"psychology,sad,classic",4.15,"USA",TRUE,"Nebula Award","Adult",TRUE,1968,"978-0156030304"
219,"A Wrinkle in Time","Madeleine L'Engle","Sci-Fi","English",1962,"Farrar, Straus & Giroux","A young girl travels through space and time to save her father.",218,"time travel,family,kids",3.99,"USA",TRUE,"Newbery Medal","Children",TRUE,2018,"978-0312367541"
220,"Bridge to Terabithia","Katherine Paterson","Children's Fiction","English",1977,"Crowell","Two lonely children create a magical forest kingdom.",163,"friendship,tragedy,imagination",4.02,"USA",TRUE,"Newbery Medal","Children",TRUE,2007,"978-0064401845"
221,"Holes","Louis Sachar","Adventure","English",1998,"Farrar, Straus and Giroux","A boy is sent to a juvenile detention camp where they must dig holes every day.",233,"mystery,humor,kids",4.18,"USA",TRUE,"Newbery Medal","Children",TRUE,2003,"978-0440414803"
222,"The Phantom Tollbooth","Norton Juster","Fantasy","English",1961,"Random House","A bored boy drives a toy car into a kingdom of words and numbers.",256,"humor,puns,classic",4.23,"USA",TRUE,"None","Children",TRUE,1970,"978-0394820378"
223,"Charlie and the Chocolate Factory","Roald Dahl","Fantasy","English",1964,"Knopf","Charlie Bucket wins a golden ticket to tour the mysterious Wonka chocolate factory.",176,"candy,humor,classic",4.15,"UK",TRUE,"None","Children",TRUE,1971,"978-0142410318"
224,"James and the Giant Peach","Roald Dahl","Fantasy","English",1961,"Knopf","An orphan boy enters a giant peach and goes on an adventure with magical bugs.",146,"adventure,insects,magic",4.02,"UK",TRUE,"None","Children",TRUE,1996,"978-0140328711"
225,"The BFG","Roald Dahl","Fantasy","English",1982,"Jonathan Cape","A young orphan girl befriends a Big Friendly Giant.",199,"giants,magic,friendship",4.24,"UK",TRUE,"None","Children",TRUE,2016,"978-0142410387"
226,"The Count of Monte Cristo","Alexandre Dumas","Adventure","English",1844,"Pétition","A man is wrongfully imprisoned, escapes, acquires a fortune, and sets about getting revenge.",1276,"revenge,classic,france,history",4.27,"France",TRUE,"None","Adult",TRUE,2002,"978-0140449266"
227,"The Three Musketeers","Alexandre Dumas","Adventure","English",1844,"Baudry","D'Artagnan travels to Paris to join the Musketeers of the Guard.",700,"adventure,swords,friendship",4.07,"France",TRUE,"None","Adult",TRUE,1993,"978-0140440256"
228,"Madame Bovary","Gustave Flaubert","Realism","English",1856,"Revue de Paris","A doctor's wife engages in extramarital affairs to escape the banality of provincial life.",329,"adultery,classic,tragedy",3.68,"France",TRUE,"None","Adult",TRUE,2014,"978-0140449129"
229,"The Hunchback of Notre-Dame","Victor Hugo","Gothic","English",1831,"Gosselin","The tragic story of Quasimodo, the bell-ringer of Notre-Dame, and the gypsy Esmeralda.",510,"paris,classic,tragedy",4.00,"France",TRUE,"None","Adult",TRUE,1996,"978-0140443530"
230,"Journey to the Center of the Earth","Jules Verne","Sci-Fi","English",1864,"Pierre-Jules Hetzel","A professor and his nephew encounter prehistoric animals underground.",240,"adventure,science,classic",3.86,"France",TRUE,"None","Adult",TRUE,2008,"978-0140449693"
231,"Twenty Thousand Leagues Under the Sea","Jules Verne","Adventure","English",1870,"Pierre-Jules Hetzel","Captain Nemo travels the world's oceans in his submarine, the Nautilus.",266,"sea,submarine,classic",3.89,"France",TRUE,"None","Adult",TRUE,1954,"978-0140449068"
232,"Around the World in Eighty Days","Jules Verne","Adventure","English",1872,"Pierre-Jules Hetzel","Phileas Fogg attempts to circumnavigate the world in 80 days on a bet.",200,"travel,adventure,classic",3.93,"France",TRUE,"None","Adult",TRUE,2004,"978-0140449068"
233,"Notes from Underground","Fyodor Dostoevsky","Philosophy","English",1864,"Epoch","The rambling memoirs of a bitter, isolated, retired civil servant.",96,"philosophy,existentialism,russia",4.17,"Russia",TRUE,"None","Adult",FALSE,,"978-0679734529"
234,"The Brothers Karamazov","Fyodor Dostoevsky","Philosophy","English",1880,"The Russian Messenger","A passionate philosophical novel that enters deeply into the ethical debates of God and morality.",796,"religion,family,murder",4.32,"Russia",TRUE,"None","Adult",TRUE,1958,"978-0374528379"
235,"The Idiot","Fyodor Dostoevsky","Classic","English",1869,"The Russian Messenger","Prince Myshkin, a purely good man, gets caught up in the corruption of St. Petersburg society.",667,"russia,classic,tragedy",4.19,"Russia",TRUE,"None","Adult",TRUE,1958,"978-0375702242"
236,"Dead Souls","Nikolai Gogol","Satire","English",1842,"University Press","A mysterious man travels the Russian countryside buying the rights to dead serfs.",432,"russia,humor,classic",3.96,"Russia",TRUE,"None","Adult",TRUE,1984,"978-0140448078"
237,"The Master and Margarita","Mikhail Bulgakov","Satire","English",1967,"YMCA Press","The Devil visits Moscow in the 1930s, causing chaos.",384,"magic,russia,satire,cats",4.30,"Russia",TRUE,"None","Adult",TRUE,2024,"978-0679760801"
238,"We","Yevgeny Zamyatin","Dystopian","English",1924,"Dutton","A mathematician in a future One State finds his logic challenged by love and revolution.",226,"dystopia,russia,scifi",3.94,"Russia",TRUE,"Prometheus Hall of Fame","Adult",FALSE,,"978-0140185850"
239,"Solaris","Stanisław Lem","Sci-Fi","English",1961,"MON","Scientists on a space station orbiting an oceanic planet confront their own repressed memories.",204,"space,psychology,philosophy",3.99,"Poland",TRUE,"None","Adult",TRUE,2002,"978-0156027601"
240,"The Witcher: The Last Wish","Andrzej Sapkowski","Fantasy","English",1993,"SuperNOWA","Geralt of Rivia, a monster hunter, navigates a world of magic and ambiguous morality.",288,"magic,monsters,short stories",4.14,"Poland",TRUE,"None","Adult",TRUE,2019,"978-0316029186"
241,"Blood of Elves","Andrzej Sapkowski","Fantasy","English",1994,"SuperNOWA","The first novel in the Witcher saga, focusing on Ciri's training.",320,"magic,war,destiny",4.09,"Poland",TRUE,"David Gemmell Legend Award","Adult",TRUE,2019,"978-0316029193"
242,"Metro 2033","Dmitry Glukhovsky","Sci-Fi","English",2005,"Eksmo","Survivors of a nuclear war live in the Moscow Metro tunnels.",458,"post-apocalyptic,horror,russia",3.95,"Russia",TRUE,"None","Adult",FALSE,,"978-0575086258"
243,"Roadside Picnic","Arkady Strugatsky","Sci-Fi","English",1972,"Molodaya Gvardiya","Stalkers enter a dangerous alien zone to retrieve mysterious artifacts.",145,"aliens,zone,classic",4.24,"Russia",TRUE,"John W. Campbell Award","Adult",TRUE,1979,"978-0613898031"
244,"Heart of Darkness","Joseph Conrad","Novella","English",1899,"Blackwood's","A voyage up the Congo River reveals the darkness of European colonialism.",77,"colonialism,africa,psychology",3.43,"UK",TRUE,"None","Adult",TRUE,1993,"978-0140281639"
245,"Lord Jim","Joseph Conrad","Adventure","English",1900,"Blackwood's","A young seaman acts cowardly during a disaster and spends his life trying to redeem himself.",350,"sea,honor,classic",3.70,"UK",TRUE,"None","Adult",TRUE,1965,"978-0140180923"
246,"The Secret Agent","Joseph Conrad","Spy Fiction","English",1907,"Methuen","A spy for a foreign embassy in London is tasked with blowing up the Greenwich Observatory.",249,"terrorism,london,classic",3.60,"UK",TRUE,"None","Adult",TRUE,1996,"978-0140180961"
247,"Gulliver's Travels","Jonathan Swift","Satire","English",1726,"Benjamin Motte","Lemuel Gulliver voyages to strange lands inhabited by tiny people, giants, and talking horses.",306,"travel,satire,classic",3.57,"Ireland",TRUE,"None","Adult",TRUE,2010,"978-0141439495"
248,"Robinson Crusoe","Daniel Defoe","Adventure","English",1719,"William Taylor","A castaway spends 28 years on a remote tropical desert island.",320,"survival,island,classic",3.67,"UK",TRUE,"None","Adult",TRUE,1997,"978-0141439822"
249,"Moll Flanders","Daniel Defoe","Picaresque","English",1722,"W. Chetwood","The life and crimes of a woman who survives by her wits in 17th century England.",336,"crime,history,classic",3.55,"UK",TRUE,"None","Adult",TRUE,1996,"978-0140433135"
250,"The Screwtape Letters","C.S. Lewis","Satire","English",1942,"Geoffrey Bles","A senior demon writes letters to his nephew instructing him on how to tempt a human soul.",175,"religion,humor,philosophy",4.23,"UK",TRUE,"None","Adult",FALSE,,"978-0060652937"
251,"The Time Machine","H.G. Wells","Sci-Fi","English",1895,"Heinemann","A Victorian scientist builds a machine to travel to the year 802,701 A.D.",118,"time travel,classic,future",3.88,"UK",TRUE,"None","Adult",TRUE,1960,"978-0451528551"
252,"The War of the Worlds","H.G. Wells","Sci-Fi","English",1898,"Heinemann","Martians invade England with towering tripods and heat rays.",192,"aliens,invasion,classic",3.83,"UK",TRUE,"None","Adult",TRUE,1953,"978-0141441030"
253,"The Invisible Man","H.G. Wells","Sci-Fi","English",1897,"C. Arthur Pearson","A scientist discovers a way to become invisible but loses his sanity in the process.",192,"science,madness,classic",3.65,"UK",TRUE,"None","Adult",TRUE,1933,"978-0451528537"
254,"The Call of the Wild","Jack London","Adventure","English",1903,"Macmillan","A domesticated dog is stolen and sold into the brutal life of an Alaskan sled dog.",232,"animals,nature,classic",4.00,"USA",TRUE,"None","Young Adult",TRUE,2020,"978-0140274778"
255,"White Fang","Jack London","Adventure","English",1906,"Macmillan","A wild wolf-dog journeys from the wild to domestication in the Yukon Territory.",298,"animals,nature,classic",4.00,"USA",TRUE,"None","Young Adult",TRUE,1991,"978-0140274761"
256,"The Adventures of Tom Sawyer","Mark Twain","Adventure","English",1876,"American Publishing","A mischievous boy grows up along the Mississippi River.",244,"classic,childhood,humor",3.92,"USA",TRUE,"None","Children",TRUE,1938,"978-0143039617"
257,"Adventures of Huckleberry Finn","Mark Twain","Adventure","English",1884,"Chatto & Windus","A boy and a runaway slave travel down the Mississippi River on a raft.",366,"classic,race,satire",3.83,"USA",TRUE,"None","Young Adult",TRUE,1993,"978-0142437179"
258,"Carrie","Stephen King","Horror","English",1974,"Doubleday","A bullied teenage girl discovers she has telekinetic powers.",199,"horror,school,powers",3.98,"USA",TRUE,"None","Adult",TRUE,1976,"978-0307743664"
259,"Pet Sematary","Stephen King","Horror","English",1983,"Doubleday","A family discovers a mysterious burial ground that brings the dead back to life.",395,"horror,death,grief",4.03,"USA",TRUE,"Locus Nominee","Adult",TRUE,1989,"978-1501156700"
260,"Salem's Lot","Stephen King","Horror","English",1975,"Doubleday","A writer returns to his hometown only to find it being taken over by vampires.",483,"vampires,horror,small town",4.03,"USA",TRUE,"World Fantasy Nominee","Adult",TRUE,1979,"978-0307743671"
261,"The Call of Cthulhu","H.P. Lovecraft","Horror","English",1928,"Weird Tales","Investigations into a cosmic entity known as Cthulhu.",43,"horror,cosmic,mythos",4.20,"USA",TRUE,"None","Adult",TRUE,2005,"978-0141187068"
262,"Stardust","Neil Gaiman","Fantasy","English",1999,"Spike","A young man enters the land of Faerie to retrieve a fallen star for his beloved.",248,"magic,romance,fairytale",4.09,"UK",TRUE,"Mythopoeic Award","Young Adult",TRUE,2007,"978-0062564344"
263,"The Graveyard Book","Neil Gaiman","Fantasy","English",2008,"HarperCollins","A boy is raised by ghosts and werewolves in a graveyard after his family is murdered.",312,"ghosts,growing up,magic",4.12,"UK",TRUE,"Newbery Medal,Hugo","Children",FALSE,,"978-0060530945"
264,"Death on the Nile","Agatha Christie","Mystery","English",1937,"Collins Crime Club","Hercule Poirot investigates a murder on a luxury cruise on the Nile River.",288,"crime,egypt,classic",4.11,"UK",TRUE,"None","Adult",TRUE,1978,"978-0062073556"
265,"The Murder of Roger Ackroyd","Agatha Christie","Mystery","English",1926,"Collins Crime Club","A wealthy man is murdered, and the retired Poirot is called to investigate.",288,"crime,twist,classic",4.25,"UK",TRUE,"None","Adult",TRUE,2000,"978-0062073563"
266,"The Silkworm","Robert Galbraith","Mystery","English",2014,"Sphere","Private investigator Cormoran Strike investigates the murder of a novelist.",455,"crime,london,publishing",4.05,"UK",TRUE,"None","Adult",TRUE,2017,"978-0316206891"
267,"The Cuckoo's Calling","Robert Galbraith","Mystery","English",2013,"Sphere","A war veteran turned private eye investigates the suicide of a supermodel.",455,"crime,model,london",3.87,"UK",TRUE,"Los Angeles Times Book Prize","Adult",TRUE,2017,"978-0316206846"
268,"The Sign of Four","Arthur Conan Doyle","Detective","English",1890,"Spencer Blackett","Sherlock Holmes investigates a missing treasure and a mysterious pact.",129,"mystery,treasure,classic",3.92,"UK",TRUE,"None","Adult",TRUE,1983,"978-0140439076"
269,"Interview with the Vampire","Anne Rice","Horror","English",1976,"Knopf","A vampire tells the story of his life to a reporter.",342,"vampires,gothic,history",4.00,"USA",TRUE,"None","Adult",TRUE,1994,"978-0345337665"
270,"The Queen's Gambit","Walter Tevis","Fiction","English",1983,"Random House","An orphaned chess prodigy battles addiction and sexism to become the best in the world.",243,"chess,addiction,genius",4.20,"USA",TRUE,"None","Adult",TRUE,2020,"978-1400030606"
271,"The Princess Bride","William Goldman","Fantasy","English",1973,"Harcourt","A fairy tale adventure about a beautiful woman and her one true love.",456,"romance,humor,adventure",4.26,"USA",TRUE,"None","Young Adult",TRUE,1987,"978-0156029841"
272,"The Last Unicorn","Peter S. Beagle","Fantasy","English",1968,"Viking Press","A unicorn believes she is the last of her kind and sets out to find others.",294,"magic,classic,animals",4.17,"USA",TRUE,"Mythopoeic Award","Young Adult",TRUE,1982,"978-0451450524"
273,"Howl's Moving Castle","Diana Wynne Jones","Fantasy","English",1986,"Greenwillow","A young woman cursed with an old body seeks the help of a wizard in his moving castle.",329,"magic,romance,studio ghibli",4.29,"UK",TRUE,"Phoenix Award","Young Adult",TRUE,2004,"978-0061478789"
274,"The Neverending Story","Michael Ende","Fantasy","German",1979,"Thienemann","A boy reads a magical book and becomes part of the story to save the land of Fantastica.",396,"magic,books,classic",4.18,"Germany",TRUE,"None","Children",TRUE,1984,"978-0525457589"
275,"Inkheart","Cornelia Funke","Fantasy","German",2003,"Dressler","A girl's father has the power to bring book characters to life by reading aloud.",563,"books,magic,adventure",3.89,"Germany",TRUE,"None","Children",TRUE,2008,"978-0439709101"
276,"Artemis Fowl","Eoin Colfer","Fantasy","English",2001,"Viking","A 12-year-old criminal mastermind kidnaps a fairy for ransom.",280,"crime,magic,fairies",3.85,"Ireland",TRUE,"Young Reader's Choice","Children",TRUE,2020,"978-1368036986"
277,"The Lightning Thief","Rick Riordan","Fantasy","English",2005,"Hyperion","Percy Jackson discovers he is a demigod son of Poseidon.",377,"mythology,gods,adventure",4.26,"USA",TRUE,"Red House Children's Book Award","Children",TRUE,2010,"978-0786838653"
278,"The Golden Compass","Philip Pullman","Fantasy","English",1995,"Scholastic","Lyra Belacqua travels to the Arctic to save her friend and discovers a cosmic conspiracy.",399,"magic,daemons,parallel worlds",3.99,"UK",TRUE,"Carnegie Medal","Young Adult",TRUE,2007,"978-0440418320"
279,"The Subtle Knife","Philip Pullman","Fantasy","English",1997,"Scholastic","Lyra and Will travel through parallel worlds and find a knife that can cut windows between them.",326,"magic,adventure,worlds",4.14,"UK",TRUE,"None","Young Adult",TRUE,2019,"978-0375846724"
280,"The Amber Spyglass","Philip Pullman","Fantasy","English",2000,"Scholastic","The final battle against the Authority determines the fate of all worlds.",518,"epic,philosophy,war",4.09,"UK",TRUE,"Whitbread Book of the Year","Young Adult",TRUE,2019,"978-0375846731"
281,"Eragon","Christopher Paolini","Fantasy","English",2002,"Paolini International","A farm boy finds a dragon egg and becomes a Dragon Rider.",503,"dragons,magic,adventure",3.91,"USA",TRUE,"None","Young Adult",TRUE,2006,"978-0375826696"
282,"City of Bones","Cassandra Clare","Fantasy","English",2007,"Margaret K. McElderry","Clary Fray discovers she is a Shadowhunter, a warrior who kills demons.",485,"demons,romance,urban fantasy",4.09,"USA",TRUE,"None","Young Adult",TRUE,2013,"978-1416914280"
283,"Throne of Glass","Sarah J. Maas","Fantasy","English",2012,"Bloomsbury","An assassin is offered her freedom if she competes to become the King's Champion.",404,"assassin,magic,romance",4.19,"USA",TRUE,"None","Young Adult",FALSE,,"978-1619630344"
284,"A Court of Thorns and Roses","Sarah J. Maas","Fantasy","English",2015,"Bloomsbury","A huntress kills a wolf and is dragged to a magical land by a faerie lord.",419,"romance,fae,retelling",4.18,"USA",TRUE,"Goodreads Choice Nominee","Adult",FALSE,,"978-1619634442"
285,"Red, White & Royal Blue","Casey McQuiston","Romance","English",2019,"St. Martin's Griffin","The First Son of the US and the Prince of Wales fall in love.",421,"lgbt,romance,politics",4.13,"USA",TRUE,"Goodreads Choice Award","Adult",TRUE,2023,"978-1250316776"
286,"The Hating Game","Sally Thorne","Romance","English",2016,"William Morrow","Two office rivals engage in a battle of wills that turns into romance.",387,"romance,enemies to lovers,humor",3.60,"Australia",TRUE,"Goodreads Choice Nominee","Adult",TRUE,2021,"978-0062439604"
287,"Beach Read","Emily Henry","Romance","English",2020,"Berkley","Two writers with writer's block challenge each other to write in the other's genre.",361,"romance,books,summer",4.05,"USA",TRUE,"Goodreads Choice Nominee","Adult",FALSE,,"978-1984806734"
288,"Book Lovers","Emily Henry","Romance","English",2022,"Berkley","A cutthroat literary agent finds herself in a small town rom-com trope.",377,"romance,books,sisters",4.32,"USA",TRUE,"Goodreads Choice Award","Adult",FALSE,,"978-0593440872"
289,"The Love Hypothesis","Ali Hazelwood","Romance","English",2021,"Berkley","A biology Ph.D. candidate fakes a relationship with a grumpy professor.",384,"romance,science,fake dating",4.14,"Italy",TRUE,"Goodreads Choice Nominee","Adult",FALSE,,"978-0593135204"
290,"Me Before You","Jojo Moyes","Romance","English",2012,"Pamela Dorman","A quirky young woman becomes a caregiver for a wealthy paralyzed man.",369,"romance,tragedy,life",4.26,"UK",TRUE,"None","Adult",TRUE,2016,"978-0143124542"
291,"Bridget Jones's Diary","Helen Fielding","Romance","English",1996,"Picador","A year in the life of a thirty-something single woman in London.",288,"humor,london,romance",3.76,"UK",TRUE,"British Book Award","Adult",TRUE,2001,"978-0140280090"
292,"The Devil Wears Prada","Lauren Weisberger","Fiction","English",2003,"Doubleday","A young woman lands a job as an assistant to a powerful fashion magazine editor.",360,"fashion,new york,humor",3.75,"USA",TRUE,"None","Adult",TRUE,2006,"978-0767914765"
293,"Confessions of a Shopaholic","Sophie Kinsella","Romance","English",2000,"Black Swan","A financial journalist with a shopping addiction tries to manage her debt and love life.",320,"humor,romance,shopping",3.64,"UK",TRUE,"None","Adult",TRUE,2009,"978-0385335485"
294,"High Fidelity","Nick Hornby","Fiction","English",1995,"Victor Gollancz","A record store owner recounts his top five breakups.",240,"music,romance,humor",3.93,"UK",TRUE,"None","Adult",TRUE,2000,"978-1573225519"
295,"About a Boy","Nick Hornby","Fiction","English",1998,"Victor Gollancz","A wealthy, immature man befriends a young boy to meet single mothers.",278,"humor,growing up,london",3.80,"UK",TRUE,"None","Adult",TRUE,2002,"978-1573227339"
296,"Crazy Rich Asians","Kevin Kwan","Satire","English",2013,"Doubleday","A New Yorker discovers her boyfriend belongs to one of the richest families in Singapore.",403,"wealth,asia,romance",3.83,"Singapore",TRUE,"None","Adult",TRUE,2018,"978-0385536974"
297,"Requiem for a Dream","Hubert Selby Jr.","Fiction","English",1978,"Playboy Press","Three friends dive into the world of drug addiction with devastating consequences.",279,"drugs,tragedy,addiction",4.12,"USA",TRUE,"None","Adult",TRUE,2000,"978-1560252481"
298,"Choke","Chuck Palahniuk","Satire","English",2001,"Doubleday","A sex addict chokes in restaurants to pay for his mother's hospital bills.",293,"satire,dark,humor",3.68,"USA",TRUE,"None","Adult",TRUE,2008,"978-0385501569"
299,"Trainspotting","Irvine Welsh","Fiction","English",1993,"Secker & Warburg","A group of heroin addicts navigate life in Edinburgh.",344,"drugs,scotland,dark",4.09,"UK",TRUE,"None","Adult",TRUE,1996,"978-0393314809"
300,"A Scanner Darkly","Philip K. Dick","Sci-Fi","English",1977,"Doubleday","An undercover narcotics agent in a futuristic society becomes addicted to the drug he is tracking.",219,"drugs,dystopia,paranoia",4.03,"USA",TRUE,"BSFA Award","Adult",TRUE,2006,"978-0547572178"
301,"In Cold Blood","Truman Capote","True Crime","English",1966,"Random House","A non-fiction novel detailing the brutal 1959 murder of the Clutter family in Kansas.",343,"crime,history,journalism",4.08,"USA",TRUE,"Edgar Award","Adult",TRUE,1967,"978-0679745587"
302,"The Silent Patient","Alex Michaelides","Thriller","English",2019,"Celadon Books","A famous painter shoots her husband five times in the face and then never speaks another word.",336,"mystery,twist,psychology",4.17,"UK",TRUE,"Goodreads Choice Award","Adult",FALSE,,"978-1250301697"
303,Digital Fortress,Dan Brown,Thriller,English,1998,St. Martin's Press,"A race to prevent a powerful decryption code from falling into the wrong hands.",384,"tech thriller,espionage",3.6,"US",FALSE,,Adult,TRUE,1999,978-0312263126
304,"Shutter Island","Dennis Lehane","Thriller","English",2003,"HarperCollins","Two US Marshals investigate the disappearance of a patient from a hospital for the criminally insane.",369,"mystery,horror,twist",4.10,"USA",TRUE,"None","Adult",TRUE,2010,"978-0062068415"
305,"Where the Wild Things Are","Maurice Sendak","Children's Fiction","English",1963,"Harper & Row","Max, a lonely and rebellious boy, sails to an island inhabited by creatures known as the Wild Things.",48,"classic,imagination,kids",4.23,"USA",TRUE,"Caldecott Medal","Children",TRUE,2009,"978-0060254926"
306,"The Cat in the Hat","Dr. Seuss","Children's Fiction","English",1957,"Random House","A tall anthropomorphic cat visits two children on a rainy day and creates chaos.",61,"rhyme,humor,kids",4.18,"USA",TRUE,"None","Children",TRUE,2003,"978-0394800011"
307,"Green Eggs and Ham","Dr. Seuss","Children's Fiction","English",1960,"Random House","Sam-I-Am tries to convince a character to try a dish of green eggs and ham.",62,"rhyme,food,kids",4.30,"USA",TRUE,"None","Children",TRUE,,"978-0394800165"
308,"Goodnight Moon","Margaret Wise Brown","Children's Fiction","English",1947,"Harper & Brothers","A young bunny says goodnight to all the objects in his room.",30,"bedtime,kids,classic",4.28,"USA",TRUE,"None","Children",FALSE,,"978-0060775858"
309,"The Very Hungry Caterpillar","Eric Carle","Children's Fiction","English",1969,"World Publishing","A caterpillar eats his way through various foods before pupating and becoming a butterfly.",22,"nature,kids,colors",4.31,"USA",TRUE,"None","Children",FALSE,,"978-0399226908"
310,"Infinite Jest","David Foster Wallace","Satire","English",1996,"Little, Brown","A complex, futuristic encyclopedia about a tennis academy and a halfway house.",1079,"complex,tennis,addiction",4.29,"USA",TRUE,"None","Adult",FALSE,,"978-0316066525"
311,"Gravity's Rainbow","Thomas Pynchon","Historiographic Metafiction","English",1973,"Viking Press","A complex novel set in Europe at the end of World War II, centering on V-2 rockets.",776,"war,complex,postmodern",4.00,"USA",TRUE,"National Book Award","Adult",FALSE,,"978-0143039471"
312,"A Thousand Splendid Suns","Khaled Hosseini","Historical Fiction","English",2007,"Riverhead Books","Two generations of characters are brought together by the tragic sweep of war in Afghanistan.",384,"war,afghanistan,women",4.42,"USA",TRUE,"Goodreads Choice Award","Adult",FALSE,,"978-1594483851"
313,"The Secret Life of Bees","Sue Monk Kidd","Historical Fiction","English",2001,"Viking","A girl runs away from her abusive father to find the truth about her mother in South Carolina.",336,"south,family,race",4.07,"USA",TRUE,"Book Sense Book of the Year","Young Adult",TRUE,2008,"978-0142001745"
314,"Night","Elie Wiesel","Memoir","English",1960,"Hill & Wang","A candid, horrific, and deeply poignant autobiographical account of survival in the Nazi death camps.",115,"holocaust,history,memoir",4.36,"Romania",TRUE,"Nobel Prize","Adult",FALSE,,"978-0374500016"
